arxiv_id,title,authors,published,iaifi_theme
2601.22029,The Ensemble Inverse Problem: Applications and Methods,Zhengyan Huan; Camila Pazos; Martin Klassen; Vincent Croft; Pierre-Hugues Beauchemin; Shuchin Aeron,2026-01-01,AI
2601.07742,PFT: Phonon Fine-tuning for Machine Learned Interatomic Potentials,Teddy Koker; Abhijeet Gangan; Mit Kotak; Jaime Marian; Tess Smidt,2026-01-01,AI
2511.22688,Test-time scaling of diffusions with flow maps,Amirmojtaba Sabour; Michael S. Albergo; Carles Domingo-Enrich; Nicholas M. Boffi; Sanja Fidler; Karsten Kreis; Eric Vanden-Eijnden,2025-11-01,AI
2511.09118,Learning to Validate Generative Models: a Goodness-of-Fit Approach,Pietro Cappelli; Gaia Grosso; Marco Letizia; Humberto Reyes-González; Marco Zanetti,2025-11-01,AI
2511.08292,Distance by de-correlation: Computing distance with heterogeneous grid cells,Pritipriya Dasbehera; Akshunna S. Dogra; William T. Redman,2025-11-01,AI
2511.03095,"Sparse, self-organizing ensembles of local kernels detect rare statistical anomalies",Gaia Grosso; Sai Sumedh R. Hindupur; Thomas Fel; Samuel Bright-Thonney; Philip Harris; Demba Ba,2025-11-01,AI
2510.21935,AutoSciDACT: Automated Scientific Discovery through Contrastive Embedding and Hypothesis Testing,Samuel Bright-Thonney; Christina Reissel; Gaia Grosso; Nathaniel Woodward; Katya Govorkova; Andrzej Novak; Sang Eon Park; Eric Moreno; Philip Harris,2025-10-01,AI
2510.21691,On Uncertainty Calibration for Equivariant Functions,Edward Berman; Jacob Ginesin; Marco Pacini; Robin Walters,2025-10-01,AI
2510.20595,"Diffusion Autoencoders with Perceivers for Long, Irregular and Multimodal Astronomical Sequences",Yunyi Shen; Alexander Gagliano,2025-10-01,AI
2510.19917,FINDER: Feature Inference on Noisy Datasets using Eigenspace Residuals,Trajan Murphy; Akshunna S. Dogra; Hanfeng Gu; Caleb Meredith; Mark Kon; Julio Enrique Castrillion-Candas,2025-10-01,AI
2510.17400,Tropical super Gromov-Witten invariants,Artan Sheshmani; Shing-Tung Yau; Benjamin Zhou,2025-10-01,AI
2510.02670,Topological Invariance and Breakdown in Learning,Yongyi Yang; Tomaso Poggio; Isaac Chuang; Liu Ziyin,2025-10-01,AI
2510.03335,Matching the Optimal Denoiser in Point Cloud Diffusion with (Improved) Rotational Alignment,Ameya Daigavane; YuQing Xie; Bodhi P. Vani; Saeed Saremi; Joseph Kleinhenz; Tess Smidt,2025-10-01,AI
2510.01349,To Augment or Not to Augment? Diagnosing Distributional Symmetry Breaking,Hannah Lawrence; Elyssa Hofgard; Vasco Portilheiro; Yuxuan Chen; Tess Smidt; Robin Walters,2025-10-01,AI
2510.00504,A universal compression theory: Lottery ticket hypothesis and superpolynomial scaling laws,Hong-Yi Wang; Di Luo; Tomaso Poggio; Isaac L. Chuang; Liu Ziyin,2025-10-01,AI
2509.20683,Implicit Augmentation from Distributional Symmetry in Turbulence Super-Resolution,Julia Balla; Jeremiah Bailey; Ali Backour; Elyssa Hofgard; Tommi Jaakkola; Tess Smidt; Ryley McConkey,2025-09-01,AI
2509.19665,Deep Learning for Clouds and Cloud Shadow Segmentation in Methane Satellite and Airborne Imaging Spectroscopy,Manuel Perez-Carrasco; Maya Nasr; Sebastien Roche; Chris Chan Miller; Zhan Zhang; Core Francisco Park; Eleanor Walker; Cecilia Garraffo; Douglas Finkbeiner; Ritesh Gautam; Steven Wofsy,2025-09-01,AI
2509.11664,Towards non-commutative crepant resolutions of affine toric Gorenstein varieties,Aimeric Malter; Artan Sheshmani,2025-09-01,AI
2509.04734,Beyond I-Con: Exploring New Dimension of Distance Measures in Representation Learning,Jasmine Shone; Shaden Alshammari; Mark Hamilton; Zhening Li; William Freeman,2025-09-01,AI
2509.03594,The Optimiser Hidden in Plain Sight: Training with the Loss Landscape’s Induced Metric,Thomas R. Harvey,2025-09-01,AI
